reference,value,footprint,x_mm,y_mm,rotation_deg
D2,SD103AWS,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac870> >,87.0,67.0,90.0
D3,G,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,141.0,115.0,90.0
D4,G,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,100.0,123.0,0.0
FB1,FerriteBead_Small,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,93.0,74.0,90.0
FB2,FerriteBead_Small,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac270> >,87.0,71.0,90.0
G***,LOGO,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,79.0,74.0,0.0
H1,M3,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acc30> >,64.0,64.0,0.0
H2,M3,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052ac5b0> >,146.0,64.0,0.0
H3,M3,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052aceb0> >,146.0,126.0,0.0
H4,M3,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052acd30> >,64.0,126.0,0.0
